Date,Open,High,Low,Close,Adj Close,Volume
2017-03-15,70.500000,70.699997,70.019997,70.580002,67.338097,8813800
2017-03-16,70.110001,70.699997,70.070000,70.440002,67.204536,7061000
2017-03-17,70.580002,70.750000,69.809998,69.889999,66.679787,14078400
2017-03-20,70.139999,70.449997,69.709999,69.980003,66.765656,7466200
2017-03-21,70.169998,70.400002,69.690002,69.900002,66.689331,8746800
2017-03-22,70.029999,70.339996,69.720001,70.250000,67.023254,6455600
2017-03-23,70.199997,70.309998,69.750000,69.860001,66.651176,6898800
2017-03-24,69.989998,70.169998,69.529999,69.610001,66.412659,5859000
2017-03-27,69.519997,70.070000,69.360001,69.660004,66.460365,5792600
2017-03-28,69.330002,70.370003,69.330002,70.320000,67.090050,7252200
2017-03-29,70.349998,71.180000,70.309998,70.739998,67.490753,6991000
2017-03-30,70.690002,71.720001,70.639999,71.589996,68.301704,8141500
2017-03-31,71.320000,72.559998,71.230003,72.080002,68.769196,9939800
2017-04-03,72.080002,72.529999,71.779999,71.830002,68.530670,8291300
2017-04-04,71.739998,72.059998,71.529999,72.010002,68.702415,5567300
2017-04-05,71.639999,72.309998,71.559998,71.650002,68.358948,6354500
2017-04-06,71.699997,72.099998,71.379997,71.430000,68.149055,5941100
2017-04-07,72.099998,72.989998,71.800003,72.900002,69.551544,10768000
2017-04-10,72.989998,73.480003,72.730003,73.059998,69.704170,7495900
2017-04-11,73.000000,73.449997,72.930000,73.430000,70.057190,5810500
2017-04-12,73.550003,73.830002,73.250000,73.440002,70.066727,6627300
2017-04-13,73.370003,73.660004,73.150002,73.150002,69.790062,5336400
2017-04-17,73.160004,73.580002,73.150002,73.489998,70.114433,5465400
2017-04-18,73.540001,74.099998,73.480003,73.889999,70.496063,6627900
2017-04-19,74.099998,74.379997,73.860001,74.070000,70.667793,5940600
2017-04-20,74.139999,75.110001,74.110001,74.800003,71.364250,7681300
2017-04-21,74.739998,75.110001,74.599998,74.940002,71.497833,5755700
2017-04-24,75.080002,75.400002,74.419998,74.779999,71.345169,7812500
2017-04-25,74.970001,75.169998,74.860001,75.050003,71.602783,5720400
2017-04-26,75.269997,75.769997,75.169998,75.430000,71.965317,6948500
2017-04-27,75.540001,75.699997,75.019997,75.440002,71.974876,6052200
2017-04-28,75.239998,75.440002,74.930000,75.180000,71.726799,7217400
2017-05-01,75.089996,75.720001,75.089996,75.230003,71.774521,6165900
2017-05-02,75.300003,75.709999,75.250000,75.519997,72.051186,7318400
2017-05-03,75.400002,75.879997,75.180000,75.760002,72.280159,5523600
2017-05-04,75.930000,76.400002,75.830002,76.339996,72.833527,5500800
2017-05-05,76.419998,76.599998,76.180000,76.500000,72.986191,5597800
2017-05-08,76.500000,76.519997,76.070000,76.120003,72.623642,6512200
2017-05-09,76.440002,77.050003,76.330002,76.720001,73.196075,8255300
2017-05-10,76.330002,76.779999,76.190002,76.699997,73.666695,7511900
2017-05-11,76.349998,76.720001,75.930000,76.129997,73.119225,8349400
2017-05-12,75.949997,76.250000,75.370003,75.709999,72.715843,5892900
2017-05-15,75.800003,76.470001,75.800003,76.290001,73.272911,8843900
2017-05-16,76.190002,76.269997,75.080002,75.110001,72.139580,8371800
2017-05-17,75.110001,75.730003,74.959999,75.120003,72.149185,10971000
2017-05-18,76.889999,77.660004,76.129997,77.540001,74.473473,19166800
2017-05-19,77.970001,79.440002,77.769997,78.769997,75.654823,18581700
2017-05-22,78.650002,79.000000,78.300003,78.550003,75.443535,8897600
2017-05-23,78.580002,78.970001,78.440002,78.489998,75.385902,7584900
2017-05-24,78.559998,78.610001,78.139999,78.150002,75.059349,7427000
2017-05-25,78.360001,78.849998,78.150002,78.309998,75.213020,6135000
2017-05-26,78.370003,78.540001,77.790001,78.129997,75.040131,6125800
2017-05-30,78.000000,78.400002,77.930000,78.150002,75.059349,5410400
2017-05-31,78.349998,78.919998,78.220001,78.599998,75.491547,8201700
2017-06-01,78.639999,79.809998,78.599998,79.809998,76.653694,8153100
2017-06-02,79.800003,79.930000,79.220001,79.620003,76.471214,7996500
2017-06-05,79.599998,80.470001,79.480003,80.260002,77.085899,10145700
2017-06-06,79.430000,79.559998,78.260002,78.930000,75.808502,11525900
2017-06-07,79.080002,79.500000,78.730003,79.150002,76.019806,8511200
2017-06-08,79.150002,80.129997,78.230003,78.930000,75.808502,10907600
2017-06-09,79.029999,79.559998,78.720001,79.419998,76.279129,9405100
2017-06-12,79.400002,80.370003,78.839996,79.239998,76.106247,10410600
2017-06-13,79.209999,79.570000,78.889999,79.519997,76.375168,5528000
2017-06-14,79.519997,80.040001,79.260002,79.900002,76.740143,5006500
2017-06-15,79.180000,79.300003,77.760002,78.910004,75.789291,11297200
2017-06-16,73.949997,75.500000,73.290001,75.239998,72.264420,56233000
2017-06-19,75.379997,76.010002,74.519997,75.500000,72.514145,16095100
2017-06-20,75.879997,75.919998,75.320000,75.540001,72.552559,10019200
2017-06-21,75.599998,76.610001,75.580002,76.239998,73.224876,9011400
2017-06-22,76.029999,76.059998,75.300003,75.519997,72.533356,8111300
2017-06-23,75.599998,75.779999,74.550003,74.839996,71.880249,13080300
2017-06-26,74.949997,75.930000,74.919998,75.500000,72.514145,8587500
2017-06-27,75.500000,76.370003,75.449997,76.010002,73.003990,6454400
2017-06-28,76.250000,76.800003,76.139999,76.510002,73.484207,6988900
2017-06-29,76.250000,76.320000,75.489998,75.930000,72.927155,7063500
2017-06-30,76.080002,76.269997,75.669998,75.680000,72.687027,6963300
2017-07-03,75.839996,76.339996,75.080002,75.360001,72.379692,4848600
2017-07-05,75.550003,75.949997,75.169998,75.320000,72.341263,6036900
2017-07-06,75.349998,75.970001,75.239998,75.470001,72.485344,6161800
2017-07-07,75.650002,75.820000,75.050003,75.330002,72.350876,5307100
2017-07-10,75.150002,75.309998,73.129997,73.230003,70.333923,15066700
2017-07-11,73.379997,74.050003,73.330002,73.470001,70.564445,7532600
2017-07-12,73.660004,74.209999,73.660004,73.940002,71.015846,5700200
2017-07-13,74.669998,75.250000,74.510002,75.050003,72.081947,8160500
2017-07-14,76.269997,76.559998,75.910004,76.339996,73.320930,9151900
2017-07-17,76.290001,76.870003,76.190002,76.370003,73.349754,8835600
2017-07-18,76.250000,76.540001,76.000000,76.199997,73.186470,4314900
2017-07-19,76.080002,76.220001,75.599998,75.870003,72.869507,5313600
2017-07-20,75.980003,76.250000,75.699997,76.019997,73.013580,4965400
2017-07-21,75.839996,76.230003,75.550003,76.150002,73.138451,7153300
2017-07-24,76.029999,77.160004,76.029999,76.889999,73.849190,7388000
2017-07-25,77.610001,78.860001,77.389999,78.519997,75.414711,11504000
2017-07-26,78.550003,79.169998,77.940002,78.900002,75.779694,6716100
2017-07-27,78.720001,79.860001,78.480003,79.779999,76.624893,8052500
2017-07-28,79.800003,79.959999,79.540001,79.809998,76.653694,4975200
2017-07-31,79.820000,80.339996,79.690002,79.989998,76.826584,6263200
2017-08-01,80.250000,80.730003,80.000000,80.500000,77.316422,5726500
2017-08-02,80.339996,81.110001,80.300003,80.529999,77.345222,8673000
2017-08-03,81.339996,81.760002,80.669998,80.870003,77.671783,9946900
2017-08-04,81.059998,81.400002,80.209999,80.480003,77.297218,7141800
2017-08-07,80.570000,81.449997,80.540001,81.279999,78.065552,5484500
