Date,Close
4/25/18,2639.399902
4/26/18,2666.939941
4/27/18,2669.909912
4/30/18,2648.050049
5/1/18,2654.800049
5/2/18,2635.669922
5/3/18,2629.72998
5/4/18,2663.419922
5/7/18,2672.629883
5/8/18,2671.919922
5/9/18,2697.790039
5/10/18,2723.070068
5/11/18,2727.719971
5/14/18,2730.129883
5/15/18,2711.449951
5/16/18,2722.459961
5/17/18,2720.129883
5/18/18,2712.969971
5/21/18,2733.01001
5/22/18,2724.439941
5/23/18,2733.290039
5/24/18,2727.76001
5/25/18,2721.330078
5/29/18,2689.860107
5/30/18,2724.01001
5/31/18,2705.27002
6/1/18,2734.620117
6/4/18,2746.870117
6/5/18,2748.800049
6/6/18,2772.350098
6/7/18,2770.370117
6/8/18,2779.030029
6/11/18,2782
6/12/18,2786.850098
6/13/18,2775.629883
6/14/18,2782.48999
6/15/18,2779.659912
6/18/18,2773.75
6/19/18,2762.590088
6/20/18,2767.320068
6/21/18,2749.76001
6/22/18,2754.879883
6/25/18,2717.070068
6/26/18,2723.060059
6/27/18,2699.629883
6/28/18,2716.310059
6/29/18,2718.370117
7/2/18,2726.709961
7/3/18,2713.219971
7/5/18,2736.610107
7/6/18,2759.820068
7/9/18,2784.169922
7/10/18,2793.840088
7/11/18,2774.02002
7/12/18,2798.290039
7/13/18,2801.310059
7/16/18,2798.429932
7/17/18,2809.550049
7/18/18,2815.620117
7/19/18,2804.48999
7/20/18,2801.830078
7/23/18,2806.97998
7/24/18,2820.399902
7/25/18,2846.070068
7/26/18,2837.439941
7/27/18,2818.820068
7/30/18,2802.600098
7/31/18,2816.290039
8/1/18,2813.360107
8/2/18,2827.219971
8/3/18,2840.350098
8/6/18,2850.399902
8/7/18,2858.449951
8/8/18,2857.699951
8/9/18,2853.580078
8/10/18,2833.280029
8/13/18,2821.929932
8/14/18,2839.959961
8/15/18,2818.370117
8/16/18,2840.689941
8/17/18,2850.129883
8/20/18,2857.050049
8/21/18,2862.959961
8/22/18,2861.820068
8/23/18,2856.97998
8/24/18,2874.689941
8/27/18,2896.73999
8/28/18,2897.52002
8/29/18,2914.040039
8/30/18,2901.129883
8/31/18,2901.52002
9/4/18,2896.719971
9/5/18,2888.600098
9/6/18,2878.050049
9/7/18,2871.679932
9/10/18,2877.129883
9/11/18,2887.889893
9/12/18,2888.919922
9/13/18,2904.179932
9/14/18,2904.97998
9/17/18,2888.800049
9/18/18,2904.310059
9/19/18,2907.949951
9/20/18,2930.75
9/21/18,2929.669922
9/24/18,2919.370117
9/25/18,2915.560059
9/26/18,2905.969971
9/27/18,2914
9/28/18,2913.97998
10/1/18,2924.590088
10/2/18,2923.429932
10/3/18,2925.51001
10/4/18,2901.610107
10/5/18,2885.570068
10/8/18,2884.429932
10/9/18,2880.340088
10/10/18,2785.679932
10/11/18,2728.370117
10/12/18,2767.129883
10/15/18,2750.790039
10/16/18,2809.919922
10/17/18,2809.209961
10/18/18,2768.780029
10/19/18,2767.780029
10/22/18,2755.879883
10/23/18,2740.689941
10/24/18,2656.100098
10/25/18,2705.570068
10/26/18,2658.689941
10/29/18,2641.25
10/30/18,2682.629883
10/31/18,2711.73999
11/1/18,2740.370117
11/2/18,2723.060059
11/5/18,2738.310059
11/6/18,2755.449951
11/7/18,2813.889893
11/8/18,2806.830078
11/9/18,2781.01001
11/12/18,2726.219971
11/13/18,2722.179932
11/14/18,2701.580078
11/15/18,2730.199951
11/16/18,2736.27002
11/19/18,2690.72998
11/20/18,2641.889893
11/21/18,2649.929932
11/23/18,2632.560059
11/26/18,2673.449951
11/27/18,2682.169922
11/28/18,2743.790039
11/29/18,2737.800049
11/30/18,2760.169922
12/3/18,2790.370117
12/4/18,2700.060059
12/6/18,2695.949951
12/7/18,2633.080078
12/10/18,2637.719971
12/11/18,2636.780029
12/12/18,2651.070068
